CantonCode,CantonName,BuildingType,DwellingsPerBuilding,NumberOfFloors,YearBuilt,BuildingCount
01,Aargau,SingleFamily,0Units,1Floor,1918AndBefore,0
01,Aargau,SingleFamily,0Units,1Floor,1919to1945,0
01,Aargau,SingleFamily,0Units,1Floor,1946to1960,0
01,Aargau,SingleFamily,0Units,1Floor,1961to1970,0
01,Aargau,SingleFamily,0Units,1Floor,1971to1980,0
01,Aargau,SingleFamily,0Units,1Floor,1981to1990,0
01,Aargau,SingleFamily,0Units,1Floor,1991to2000,0
01,Aargau,SingleFamily,0Units,1Floor,2001to2005,0
01,Aargau,SingleFamily,0Units,1Floor,2006to2013,0
01,Aargau,SingleFamily,0Units,2Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,2Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,2Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,2Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,2Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,2Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,2Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,2Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,2Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,3Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,3Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,3Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,3Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,3Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,3Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,3Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,3Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,3Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,4Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,4Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,4Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,4Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,4Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,4Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,4Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,4Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,4Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,5Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,5Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,5Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,5Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,5Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,5Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,5Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,5Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,5Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,6Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,6Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,6Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,6Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,6Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,6Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,6Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,6Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,6Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,7Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,7Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,7Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,7Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,7Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,7Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,7Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,7Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,7Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,8Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,8Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,8Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,8Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,8Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,8Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,8Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,8Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,8Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,9Floors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,9Floors,1919to1945,0
01,Aargau,SingleFamily,0Units,9Floors,1946to1960,0
01,Aargau,SingleFamily,0Units,9Floors,1961to1970,0
01,Aargau,SingleFamily,0Units,9Floors,1971to1980,0
01,Aargau,SingleFamily,0Units,9Floors,1981to1990,0
01,Aargau,SingleFamily,0Units,9Floors,1991to2000,0
01,Aargau,SingleFamily,0Units,9Floors,2001to2005,0
01,Aargau,SingleFamily,0Units,9Floors,2006to2013,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1918AndBefore,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1919to1945,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1946to1960,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1961to1970,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1971to1980,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1981to1990,0
01,Aargau,SingleFamily,0Units,10PlusFloors,1991to2000,0
01,Aargau,SingleFamily,0Units,10PlusFloors,2001to2005,0
01,Aargau,SingleFamily,0Units,10PlusFloors,2006to2013,0
01,Aargau,SingleFamily,1Unit,1Floor,1918AndBefore,468
01,Aargau,SingleFamily,1Unit,1Floor,1919to1945,442
01,Aargau,SingleFamily,1Unit,1Floor,1946to1960,1383
01,Aargau,SingleFamily,1Unit,1Floor,1961to1970,2138
01,Aargau,SingleFamily,1Unit,1Floor,1971to1980,2425
01,Aargau,SingleFamily,1Unit,1Floor,1981to1990,1044
01,Aargau,SingleFamily,1Unit,1Floor,1991to2000,447
01,Aargau,SingleFamily,1Unit,1Floor,2001to2005,262
01,Aargau,SingleFamily,1Unit,1Floor,2006to2013,391
01,Aargau,SingleFamily,1Unit,2Floors,1918AndBefore,5443
01,Aargau,SingleFamily,1Unit,2Floors,1919to1945,7145
01,Aargau,SingleFamily,1Unit,2Floors,1946to1960,9901
01,Aargau,SingleFamily,1Unit,2Floors,1961to1970,6463
01,Aargau,SingleFamily,1Unit,2Floors,1971to1980,8728
01,Aargau,SingleFamily,1Unit,2Floors,1981to1990,9843
01,Aargau,SingleFamily,1Unit,2Floors,1991to2000,7750
01,Aargau,SingleFamily,1Unit,2Floors,2001to2005,4770
01,Aargau,SingleFamily,1Unit,2Floors,2006to2013,6694
01,Aargau,SingleFamily,1Unit,3Floors,1918AndBefore,1969
01,Aargau,SingleFamily,1Unit,3Floors,1919to1945,2532
01,Aargau,SingleFamily,1Unit,3Floors,1946to1960,795
01,Aargau,SingleFamily,1Unit,3Floors,1961to1970,744
01,Aargau,SingleFamily,1Unit,3Floors,1971to1980,1757
01,Aargau,SingleFamily,1Unit,3Floors,1981to1990,4491
01,Aargau,SingleFamily,1Unit,3Floors,1991to2000,6454
01,Aargau,SingleFamily,1Unit,3Floors,2001to2005,1984
01,Aargau,SingleFamily,1Unit,3Floors,2006to2013,2160
01,Aargau,SingleFamily,1Unit,4Floors,1918AndBefore,128
01,Aargau,SingleFamily,1Unit,4Floors,1919to1945,61
01,Aargau,SingleFamily,1Unit,4Floors,1946to1960,14
01,Aargau,SingleFamily,1Unit,4Floors,1961to1970,17
01,Aargau,SingleFamily,1Unit,4Floors,1971to1980,51
01,Aargau,SingleFamily,1Unit,4Floors,1981to1990,138
01,Aargau,SingleFamily,1Unit,4Floors,1991to2000,67
01,Aargau,SingleFamily,1Unit,4Floors,2001to2005,33
01,Aargau,SingleFamily,1Unit,4Floors,2006to2013,46
01,Aargau,SingleFamily,1Unit,5Floors,1918AndBefore,13
01,Aargau,SingleFamily,1Unit,5Floors,1919to1945,2
01,Aargau,SingleFamily,1Unit,5Floors,1946to1960,3
01,Aargau,SingleFamily,1Unit,5Floors,1961to1970,6
01,Aargau,SingleFamily,1Unit,5Floors,1971to1980,6
01,Aargau,SingleFamily,1Unit,5Floors,1981to1990,24
01,Aargau,SingleFamily,1Unit,5Floors,1991to2000,3
01,Aargau,SingleFamily,1Unit,5Floors,2001to2005,0
01,Aargau,SingleFamily,1Unit,5Floors,2006to2013,3
01,Aargau,SingleFamily,1Unit,6Floors,1918AndBefore,0
01,Aargau,SingleFamily,1Unit,6Floors,1919to1945,0
01,Aargau,SingleFamily,1Unit,6Floors,1946to1960,0
