GeoCode,BuildingType,NumberOfFloors,YearBuilt,BuildingCount
1101,SingleFamily,1Floor,1919andBefore,4
1101,SingleFamily,2Floors,1919andBefore,39
1101,SingleFamily,3Floors,1919andBefore,40
1101,SingleFamily,4Floors,1919andBefore,0
1101,SingleFamily,5Floors,1919andBefore,0
1101,SingleFamily,6Floors,1919andBefore,0
1101,SingleFamily,7Floors,1919andBefore,0
1101,SingleFamily,8Floors,1919andBefore,0
1101,SingleFamily,9Floors,1919andBefore,0
1101,SingleFamily,10Floors,1919andBefore,0
1101,SingleFamily,11to12Floors,1919andBefore,0
1101,SingleFamily,13PlusFloors,1919andBefore,0
1101,SingleFamily,Unknown,1919andBefore,1
1101,MultiDwelling,1Floor,1919andBefore,4
1101,MultiDwelling,2Floors,1919andBefore,41
1101,MultiDwelling,3Floors,1919andBefore,176
1101,MultiDwelling,4Floors,1919andBefore,323
1101,MultiDwelling,5Floors,1919andBefore,351
1101,MultiDwelling,6Floors,1919andBefore,96
1101,MultiDwelling,7Floors,1919andBefore,27
1101,MultiDwelling,8Floors,1919andBefore,6
1101,MultiDwelling,9Floors,1919andBefore,0
1101,MultiDwelling,10Floors,1919andBefore,0
1101,MultiDwelling,11to12Floors,1919andBefore,0
1101,MultiDwelling,13PlusFloors,1919andBefore,0
1101,MultiDwelling,Unknown,1919andBefore,65
1101,NonResidential,1Floor,1919andBefore,0
1101,NonResidential,2Floors,1919andBefore,3
1101,NonResidential,3Floors,1919andBefore,15
1101,NonResidential,4Floors,1919andBefore,45
1101,NonResidential,5Floors,1919andBefore,29
1101,NonResidential,6Floors,1919andBefore,12
1101,NonResidential,7Floors,1919andBefore,3
1101,NonResidential,8Floors,1919andBefore,0
1101,NonResidential,9Floors,1919andBefore,0
1101,NonResidential,10Floors,1919andBefore,0
1101,NonResidential,11to12Floors,1919andBefore,0
1101,NonResidential,13PlusFloors,1919andBefore,0
1101,NonResidential,Unknown,1919andBefore,4
1101,SingleFamily,1Floor,1920to1945,2
1101,SingleFamily,2Floors,1920to1945,1
1101,SingleFamily,3Floors,1920to1945,1
1101,SingleFamily,4Floors,1920to1945,0
1101,SingleFamily,5Floors,1920to1945,0
1101,SingleFamily,6Floors,1920to1945,0
1101,SingleFamily,7Floors,1920to1945,0
1101,SingleFamily,8Floors,1920to1945,0
