AREA,ReturnPeriod,AGG_RES_GU,AGG_RES_BLDG_GU,AGG_RES_CONT_GU,AGG_COM_GU,AGG_Com_Bldg_GU,AGG_Com_Cont_GU,AGG_IND_GU,AGG_Ind_Bldg_GU,AGG_Ind_Cont_GU,AGG_COMTOTAL_GU,AGG_AGR_GU,AGG_AUTO_GU,AGG_TOTAL_GU,AGG_RES_GR,AGG_RES_BLDG_GR,AGG_RES_CONT_GR,AGG_COM_GR,AGG_IND_GR,AGG_COMTOTAL_GR,AGG_AGR_GR,AGG_AUTO_GR,AGG_TOTAL_GR,AGG_RES_INS,AGG_RES_BLDG_INS,AGG_RES_CONT_INS,AGG_COM_INS,AGG_IND_INS,AGG_COMTOTAL_INS,AGG_AGR_INS,AGG_AUTO_INS,AGG_TOTAL_INS
CZ,0,224052233,143453117.2,80599115.78,260907008.2,150168248.9,92163240.34,305462783.6,129285069.2,88268793.78,566369791.8,18435011.36,3124629.896,811981666,222392189.2,142830234.5,79561954.65,240265898.4,257510492.4,497776390.8,18340815.49,2109804.227,740619199.7,31406403.31,19656029.49,11750373.81,95876122.47,56780973.16,152657095.6,7652092.932,962673.062,192678264.9
CZ,2,104853327.9,67270345.62,37548718.44,124311398.5,71476134.13,43665983.32,71757403.1,26942291.53,30162661.39,196621726.7,4279216.121,2104988.826,308373405.9,103703210.1,66893329.54,36907162.83,113334921.6,65758983.27,180130921.4,4225182.499,1337162.509,290302771.4,124495.9318,80411.57645,44662.23099,355806.4769,207110.3161,582679.9095,6547.878384,8543.838805,758375.5171
CZ,5,323272962.4,207152339,116549500.5,365927344.9,211020903,128808480.4,258076426.2,98379154.65,107972954.7,654364187.6,24687119.07,5137920.753,1028816214,320926858.1,206035627.4,114859666,335757328.4,240351455.6,603612348.6,24522411.26,3436794.558,967995242.2,44398839.67,27884886.33,16532699.46,126913221.4,71064526.7,198676550.9,6319520.03,1796489.836,251565518.8
CZ,10,555821611.5,354238460,200754809.4,614582822.5,354500997.8,217489762.3,1092068794,478996660.3,239904240.6,1610860999,53157404.33,7338201.597,2160308422,551660444.2,352894386.9,197754821.8,567142231.3,874415737.3,1345901858,52953921.82,5037806.112,1922974238,90119956.01,56734173.15,33406954.45,271783015.2,157693230.2,429773792.5,20620434.71,3166145.12,543666556.6
CZ,20,822148587.3,526209098.3,296271159.8,910513408.4,523494884.2,322149062.9,1692335733,750814826.5,385811075.6,2543874697,86175837.19,9610213.658,3430730004,817220697.3,523521716.6,293840091.1,840891449.4,1341042413,2142448481,85829703.1,6746113.18,3029665230,147445980.3,92319458.75,55420248.21,459129689.4,274761049.8,728730631.8,43826340.2,4494605.822,924356694.8
CZ,40,1155550101,742638711.6,420158087.6,1299065239,745913726.5,462758100.4,2267639882,975787334.5,547737945.1,3578300419,124039570.6,11969957.04,4834346811,1151170843,740353668.9,417323041.2,1200270465,1861916529,3030802636,123568680,8551800.325,4266769639,222648758.1,138590021.2,83371787.86,703042857.4,433231216.3,1132632578,73867283.44,5785702.245,1434716131
CZ,50,1308217145,843582573.9,471131146.9,1523283805,867680594,541598246.2,2518358801,1095118341,607409511.2,3933907956,136692400.6,12895795.02,5318944410,1302767132,841217468,466340987.6,1410137029,2034802007,3386122112,136342202.2,9301103.626,4777807201,250939271,157109738.6,95371792.29,795263391.4,487268698,1278839043,83917618.89,6296469.491,1614830123
CZ,100,1746464286,1111363376,628750845.5,2087126559,1198671124,742641071.7,3301020424,1452836384,845959513.5,5254164811,180365733.7,15229393.91,7159566760,1732605144,1107294356,623824223.7,1952669877,2683546671,4612460926,179886290,11092807.09,6563979469,357908340.2,222036940.3,134296803.3,1127420064,722526299.8,1840073032,118638735.3,7675204.9,2315804902
CZ,250,2383000850,1527608667,860325103.8,3238129164,1831743033,1177640682,4538696165,1974056028,1202858432,7844572802,237832514.3,18123064.72,10289146028,2363787095,1523831030,851456698.8,3011272448,3749200139,6780845964,237212048.1,13445455.61,9359001778,543846276.3,337946545.7,206836493.9,1707364521,1079474620,2867005258,161695244.1,9411818.938,3573237794
CZ,500,2906614984,1882918830,1019229812,4477633031,2561379224,1604768848,5483288072,2348581712,1538760527,9710272324,279739016.5,21210887.09,12618881301,2884805774,1873833853,1013638596,4243428699,4690581534,8807195111,278947805.2,15837349.59,11664048560,693997462.9,427212160,264075636.4,2446485918,1511885822,3995149140,194054546.1,11086144.71,4817052504
CZ,1000,3487608236,2270380595,1216669242,5475327881,3138672626,1979918108,6170664711,2659297162,1848045054,11948195181,312749076.5,24035807.04,16182311349,3460567551,2259660096,1200661060,5067909075,5444410773,10395545758,311827565.7,18424189.75,14431387449,995775476.5,616758369.5,379017106.9,3397509415,2028467074,5365786774,225174295.4,12896932.83,6579687414
CZ,2500,4057961965,2600283348,1457678618,6354562370,3641062249,2269386786,7774762813,3290074522,2140072973,13184910706,411651838.7,26904245.14,17996433001,4044695123,2594421838,1450273285,5882784144,6399576305,11762606509,410571879.6,20491471.89,16617129358,1169970009,732237725.3,449899126.2,4188368966,2370289160,6467721941,297800889.7,14344030.31,7839872893
CZ,5000,4718506149,3004827873,1708116079,6891009707,4021234362,2454516765,8032761517,3485847515,2365689559,14665772520,466211784.9,28463829.88,19059522367,4702782128,2997910904,1699763619,6378361685,6819549736,13164769494,465026448.8,21835086.33,17538847781,1221000839,753751141.1,467249697.5,4539717713,2699291605,7239009317,337221385.1,15284560.41,8728743066
CZ,10000,4975494077,3267377997,1713678275,9708432832,5676282470,3334269294,9403384129,3948653434,2968688016,19111816960,490370803.5,30333893.76,24443058413,4960244170,3260480552,1704871224,8925574414,8399753899,17325328313,489283619.8,23201565.74,22634687718,1772277138,1122218941,650058196.7,6306166029,3468453296,9774619324,354617617.5,16241096,11798774229
CZE_10,0,1269213.275,845419.6805,423793.5941,2879971.588,1664005.15,1015679.152,1119791.039,401756.9321,461760.1203,3999762.627,0,63879.7895,5332855.691,1250955.825,839366.5228,411589.3024,2611321.298,969785.2951,3581106.593,0,41055.73753,4873118.156,335086.3259,215305.9145,119780.4114,992376.1159,372817.3046,1365193.42,0,16204.75414,1716484.501
CZE_10,2,1013670.397,681839.2116,329836.363,1998387.744,1130813.749,721831.5293,878338.3539,309781.0828,357091.4058,2885467.946,0,59746.53836,3969037.066,997175.1095,676431.3215,318825.5659,1782870.681,756707.0951,2552522.945,0,34760.95224,3599547.969,0,0,0,0,0,0,0,0,0
CZE_10,5,2348129.033,1571666.528,774681.726,4823080.461,2746533.636,1752141.615,2000066.88,724186.1297,827124.0435,7129516.756,0,117726.9155,9611095.884,2314041.526,1559006.885,749831.8164,4327588.446,1738390.82,6333676.574,0,74547.72851,8708987.523,685600.8186,439384.161,244912.1877,1732587.435,826526.8158,2576009.697,0,36671.22124,3301025.988
CZE_10,10,3451856.477,2302079.431,1162836.688,8388935.495,4881354.753,2875409.292,2857785.975,1027321.743,1177725.572,10984314.09,0,167021.4992,14514719.86,3411658.204,2285411.225,1135248.315,7641103.368,2476519.208,9922005.964,0,109055.4653,13454034.15,1298831.857,832753.3583,461824.8425,3337819.022,1342835.234,4871809.472,0,59390.62644,6258959.625
CZE_10,20,4486427.627,2974079.355,1510265.21,11192465.27,6585143.696,3797064.587,3630613.598,1310533.658,1498734.749,14326835.52,0,216230.31,19003188.3,4423425.037,2953462.102,1478661.248,10239738.45,3120813.417,12909862.28,0,138403.0876,17473179.88,1757239.962,1135967.902,622467.5619,5811117.426,1918710.316,7617464.554,0,85487.69745,9399991.75
CZE_10,40,5613202.248,3717052.4,1888223.121,13687855.09,8050745.48,4707863.658,4358917.118,1574468.97,1812451.976,17836864.59,0,254922.574,23689559.9,5546015.103,3692232.243,1836001.95,12521871.54,3814964.149,16079490.81,0,167801.5224,21816689.93,2281196.646,1468451.907,813975.1277,7773980.42,2410066.867,9864643.307,0,109247.4045,12126430.51
CZE_10,50,5954089.938,3948132.975,1997729.344,14584441.85,8531035.672,4997408.202,4552743.361,1643477.032,1896220.65,19003020.45,0,267047.2009,25002395.81,5900927.52,3923932.383,1956001.605,13278519.74,3994081.404,17124514.45,0,175957.784,23160715.74,2400464.072,1548335.696,858515.0538,8168319.582,2577519.004,10435680.29,0,116485.0236,12947748.96
CZE_10,100,7304680.654,4767518.614,2494490.7,18432064.24,10748341,6251667.398,5201182.22,1888135.344,2182938.558,23358657.76,0,304631.2156,31027154.54,7245370.496,4745305.422,2447991.863,16841495.75,4588503.522,21228000.7,0,201473.333,28736526.71,3003188.251,1921852.444,1078640.942,9925322.077,3044927.438,12913186.32,0,135884.0357,15876743.14
CZE_10,250,11508354.9,7599710.976,3908643.929,26825062.52,15502094.98,9536730.853,5949121.679,2150318.198,2511096.089,31800067.08,0,351462.7269,42489072.01,11457252.47,7576430.382,3860149.711,24800167.32,5253578.161,29210489.54,0,236043.7424,39531237.68,3816852.426,2457005.928,1359846.498,13142765.93,3643779.605,16778158.12,0,159214.0228,20879998.19
